1170
cluster: 0: length: 16
[6, 0, 1, 0, 0]: ['10.0.0.7', '10.0.0.1', 1, 0, 0]
[6, 0, 1, 0, 0]: ['10.0.0.7', '10.0.0.1', 1, 0, 0]
[6, 0, 1, 0, 0]: ['10.0.0.7', '10.0.0.1', 1, 0, 0]
[6, 0, 1, 0, 0]: ['10.0.0.7', '10.0.0.1', 1, 0, 0]
[6, 0, 1, 0, 0]: ['10.0.0.7', '10.0.0.1', 1, 0, 0]
[6, 0, 1, 0, 0]: ['10.0.0.7', '10.0.0.1', 1, 0, 0]
[6, 0, 1, 0, 0]: ['10.0.0.7', '10.0.0.1', 1, 0, 0]
[6, 0, 1, 0, 0]: ['10.0.0.7', '10.0.0.1', 1, 0, 0]
[6, 0, 1, 0, 0]: ['10.0.0.7', '10.0.0.1', 1, 0, 0]
[6, 0, 1, 0, 0]: ['10.0.0.7', '10.0.0.1', 1, 0, 0]
[6, 0, 1, 0, 0]: ['10.0.0.7', '10.0.0.1', 1, 0, 0]
[6, 0, 1, 0, 0]: ['10.0.0.7', '10.0.0.1', 1, 0, 0]
[6, 0, 1, 0, 0]: ['10.0.0.7', '10.0.0.1', 1, 0, 0]
[6, 0, 1, 0, 0]: ['10.0.0.7', '10.0.0.1', 1, 0, 0]
[6, 0, 1, 0, 0]: ['10.0.0.7', '10.0.0.1', 1, 0, 0]
[6, 0, 1, 0, 0]: ['10.0.0.7', '10.0.0.1', 1, 0, 0]
[6, 0, 1, 0, 0]: ['10.0.0.7', '10.0.0.1', 1, 0, 0]
[6, 0, 1, 0, 0]: ['10.0.0.7', '10.0.0.1', 1, 0, 0]
[6, 0, 1, 0, 0]: ['10.0.0.7', '10.0.0.1', 1, 0, 0]
[6, 0, 1, 0, 0]: ['10.0.0.7', '10.0.0.1', 1, 0, 0]
[6, 0, 1, 0, 0]: ['10.0.0.7', '10.0.0.1', 1, 0, 0]
[6, 0, 1, 0, 0]: ['10.0.0.7', '10.0.0.1', 1, 0, 0]
[6, 0, 1, 0, 0]: ['10.0.0.7', '10.0.0.1', 1, 0, 0]
[6, 0, 1, 0, 0]: ['10.0.0.7', '10.0.0.1', 1, 0, 0]
cluster: 5: length: 75
[0, 6, 1, 0, 0]: ['10.0.0.1', '10.0.0.7', 1, 0, 0]
[0, 6, 1, 0, 0]: ['10.0.0.1', '10.0.0.7', 1, 0, 0]
[0, 6, 1, 0, 0]: ['10.0.0.1', '10.0.0.7', 1, 0, 0]
[0, 6, 1, 0, 0]: ['10.0.0.1', '10.0.0.7', 1, 0, 0]
[0, 6, 1, 0, 0]: ['10.0.0.1', '10.0.0.7', 1, 0, 0]
[0, 6, 1, 0, 0]: ['10.0.0.1', '10.0.0.7', 1, 0, 0]
[0, 6, 1, 0, 0]: ['10.0.0.1', '10.0.0.7', 1, 0, 0]
[0, 6, 1, 0, 0]: ['10.0.0.1', '10.0.0.7', 1, 0, 0]
[0, 6, 1, 0, 0]: ['10.0.0.1', '10.0.0.7', 1, 0, 0]
[0, 6, 1, 0, 0]: ['10.0.0.1', '10.0.0.7', 1, 0, 0]
[0, 6, 1, 0, 0]: ['10.0.0.1', '10.0.0.7', 1, 0, 0]
[0, 6, 1, 0, 0]: ['10.0.0.1', '10.0.0.7', 1, 0, 0]
[0, 6, 1, 0, 0]: ['10.0.0.1', '10.0.0.7', 1, 0, 0]
[0, 6, 1, 0, 0]: ['10.0.0.1', '10.0.0.7', 1, 0, 0]
[0, 6, 1, 0, 0]: ['10.0.0.1', '10.0.0.7', 1, 0, 0]
[0, 6, 1, 0, 0]: ['10.0.0.1', '10.0.0.7', 1, 0, 0]
[0, 6, 1, 0, 0]: ['10.0.0.1', '10.0.0.7', 1, 0, 0]
[0, 6, 1, 0, 0]: ['10.0.0.1', '10.0.0.7', 1, 0, 0]
[0, 6, 1, 0, 0]: ['10.0.0.1', '10.0.0.7', 1, 0, 0]
[0, 6, 1, 0, 0]: ['10.0.0.1', '10.0.0.7', 1, 0, 0]
[0, 6, 1, 0, 0]: ['10.0.0.1', '10.0.0.7', 1, 0, 0]
[0, 6, 1, 0, 0]: ['10.0.0.1', '10.0.0.7', 1, 0, 0]
[0, 6, 1, 0, 0]: ['10.0.0.1', '10.0.0.7', 1, 0, 0]
[0, 6, 1, 0, 0]: ['10.0.0.1', '10.0.0.7', 1, 0, 0]
[0, 6, 1, 0, 0]: ['10.0.0.1', '10.0.0.7', 1, 0, 0]
[0, 6, 1, 0, 0]: ['10.0.0.1', '10.0.0.7', 1, 0, 0]
[0, 6, 1, 0, 0]: ['10.0.0.1', '10.0.0.7', 1, 0, 0]
[0, 6, 1, 0, 0]: ['10.0.0.1', '10.0.0.7', 1, 0, 0]
[0, 6, 1, 0, 0]: ['10.0.0.1', '10.0.0.7', 1, 0, 0]
[0, 6, 1, 0, 0]: ['10.0.0.1', '10.0.0.7', 1, 0, 0]
[0, 6, 1, 0, 0]: ['10.0.0.1', '10.0.0.7', 1, 0, 0]
[0, 6, 1, 0, 0]: ['10.0.0.1', '10.0.0.7', 1, 0, 0]
[0, 6, 1, 0, 0]: ['10.0.0.1', '10.0.0.7', 1, 0, 0]
[0, 6, 1, 0, 0]: ['10.0.0.1', '10.0.0.7', 1, 0, 0]
[0, 6, 1, 0, 0]: ['10.0.0.1', '10.0.0.7', 1, 0, 0]
[0, 6, 1, 0, 0]: ['10.0.0.1', '10.0.0.7', 1, 0, 0]
[0, 6, 1, 0, 0]: ['10.0.0.1', '10.0.0.7', 1, 0, 0]
[0, 6, 1, 0, 0]: ['10.0.0.1', '10.0.0.7', 1, 0, 0]
[0, 6, 1, 0, 0]: ['10.0.0.1', '10.0.0.7', 1, 0, 0]
[0, 6, 1, 0, 0]: ['10.0.0.1', '10.0.0.7', 1, 0, 0]
[0, 6, 1, 0, 0]: ['10.0.0.1', '10.0.0.7', 1, 0, 0]
